path,size,category,keep_or_exclude,release_destination,reason,license_status,contains_old_name,contains_hardcoded_path,contains_sensitive_information
ABLATION_EXPERIMENT_COMMANDS.md,9951,documentation,keep,docs/ABLATION_EXPERIMENT_COMMANDS.md,included as docs/ABLATION_EXPERIMENT_COMMANDS.md,first_party_license_pending,true,true,true
DB_RAG_METRICS_EXPLANATION.md,15598,documentation,keep,docs/DB_RAG_METRICS_EXPLANATION.md,included as docs/DB_RAG_METRICS_EXPLANATION.md,first_party_license_pending,true,false,true
DB_RAG_METRIC_DICTIONARY.csv,12712,documentation,keep,docs/DB_RAG_METRIC_DICTIONARY.csv,included as docs/DB_RAG_METRIC_DICTIONARY.csv,first_party_license_pending,true,false,true
db_rag_pipeline_common.py,28831,experiment_runner,keep,db_rag_pipeline_common.py,included as db_rag_pipeline_common.py,first_party_license_pending,true,false,true
evaluate_db_rag_answers.py,20646,experiment_runner,keep,evaluate_db_rag_answers.py,included as evaluate_db_rag_answers.py,first_party_license_pending,true,false,false
EVIGRAPH_EVIDENCE_PLANNING_PACKING_ARCHITECTURE.md,36434,documentation,keep,docs/EVIQUE_EVIDENCE_PLANNING_PACKING_ARCHITECTURE.md,included as docs/EVIQUE_EVIDENCE_PLANNING_PACKING_ARCHITECTURE.md,first_party_license_pending,true,false,true
generate_db_rag_answers.py,12015,experiment_runner,keep,generate_db_rag_answers.py,included as generate_db_rag_answers.py,first_party_license_pending,true,false,true
make_per_query_eval_table.py,21360,experiment_runner,keep,make_per_query_eval_table.py,included as make_per_query_eval_table.py,first_party_license_pending,true,false,false
merge_db_rag_4dataset_results.py,5363,experiment_runner,keep,merge_db_rag_4dataset_results.py,included as merge_db_rag_4dataset_results.py,first_party_license_pending,false,false,true
merge_evigraph_ablation_results.py,5966,experiment_runner,keep,merge_evique_ablation_results.py,included as merge_evique_ablation_results.py,first_party_license_pending,true,false,true
normalize_db_rag_queries.py,2459,experiment_runner,keep,normalize_db_rag_queries.py,included as normalize_db_rag_queries.py,first_party_license_pending,true,true,true
RAG_METRICS_EXPLANATION.md,12739,documentation,keep,docs/RAG_METRICS_EXPLANATION.md,included as docs/RAG_METRICS_EXPLANATION.md,first_party_license_pending,true,false,true
RAG_METRIC_DICTIONARY.csv,10120,documentation,keep,docs/RAG_METRIC_DICTIONARY.csv,included as docs/RAG_METRIC_DICTIONARY.csv,first_party_license_pending,true,false,true
run_db_baseline_comparison.py,11597,experiment_runner,keep,run_db_baseline_comparison.py,included as run_db_baseline_comparison.py,first_party_license_pending,true,false,false
run_db_baseline_evidence_retrieval.py,19710,experiment_runner,keep,run_db_baseline_evidence_retrieval.py,included as run_db_baseline_evidence_retrieval.py,first_party_license_pending,true,false,true
run_evigraph_ablation_db_rag.py,26544,experiment_runner,keep,run_evique_ablation_db_rag.py,included as run_evique_ablation_db_rag.py,first_party_license_pending,true,false,true
run_rag_comparison.py,226116,experiment_runner,keep,run_rag_comparison.py,included as run_rag_comparison.py,first_party_license_pending,true,true,true
watch_db_rag_progress.py,4464,experiment_runner,keep,watch_db_rag_progress.py,included as watch_db_rag_progress.py,first_party_license_pending,true,false,false
x.log,359,log,exclude,,runtime log,not_release_artifact,false,false,false
yolo11n.pt,5613764,model_weight,exclude,,downloadable model weight,download_external_do_not_commit,false,false,false
ablation_configs/core_planner_packaging.json,1830,configuration,keep,configs/ablation/core_planner_packaging.json,included as configs/ablation/core_planner_packaging.json,first_party_license_pending,true,false,true
ablation_configs/view_leave_one_out.json,1235,configuration,keep,configs/ablation/view_leave_one_out.json,included as configs/ablation/view_leave_one_out.json,first_party_license_pending,true,false,false
comparison_runs/db_rag_smoke_input.txt,147,generated_result,exclude,,"generated smoke/dry-run output, not paper result",not_release_artifact,false,false,false
comparison_runs/fallback_count_test.log,274,log,exclude,,runtime log,not_release_artifact,false,false,false
comparison_runs/fallback_test.log,208,log,exclude,,runtime log,not_release_artifact,false,false,false
comparison_runs/long_track_fallback_test.log,104,log,exclude,,runtime log,not_release_artifact,false,false,false
DB_Baselines/baseline_feasibility_report.md,15473,third_party,exclude,,external/unvalidated baseline source or metadata,third_party_license_unclear_or_external,true,false,false
DB_Baselines/lovo_style_baseline_plan.md,5348,third_party,exclude,,external/unvalidated baseline source or metadata,third_party_license_unclear_or_external,true,false,false
DB_Baselines/lovo_style_baseline_status.csv,3999,third_party,exclude,,external/unvalidated baseline source or metadata,third_party_license_unclear_or_external,false,false,false
DB_Baselines/miris_run_plan.md,2539,third_party,exclude,,external/unvalidated baseline source or metadata,third_party_license_unclear_or_external,false,false,false
DB_Baselines/miris_smoke_commands.md,1325,third_party,exclude,,external/unvalidated baseline source or metadata,third_party_license_unclear_or_external,true,true,true
DB_Baselines/third_party_lava_baseline_plan.md,4876,third_party,exclude,,external/unvalidated baseline source or metadata,third_party_license_unclear_or_external,true,true,true
DB_Baselines/__init__.py,42,third_party,exclude,,external/unvalidated baseline source or metadata,third_party_license_unclear_or_external,false,false,false
db_benchmark/metrics.py,14987,evaluation,keep,db_benchmark/metrics.py,included as db_benchmark/metrics.py,first_party_license_pending,false,false,false
