table_name,column_name,metric_group,source_file_or_stage,computed_by,aggregation_level,definition,formula_or_logic,notes
quantitative_table.csv,Model,metadata,evaluation,script aggregation,per-method,方法名,来自 answer_sources 的 method key,DB-RAG 默认方法顺序优先 EVIQUE 以及 DB_RAG_METHODS
quantitative_table.csv,Comprehensiveness,answer_quality,evaluation,LLM judge or fixed baseline,per-method,答案覆盖问题全部方面和细节的程度,对所有 query 和 eval run 的 Score 求均值,EVIQUE baseline 在无 reference answer 时固定为 3
quantitative_table.csv,Empowerment,answer_quality,evaluation,LLM judge or fixed baseline,per-method,答案帮助读者理解和判断的程度,对所有 query 和 eval run 的 Score 求均值,EVIQUE baseline 在无 reference answer 时固定为 3
quantitative_table.csv,Trustworthiness,answer_quality,evaluation,LLM judge or fixed baseline,per-method,答案可信度和与证据及常识一致性的程度,对所有 query 和 eval run 的 Score 求均值,EVIQUE baseline 在无 reference answer 时固定为 3
quantitative_table.csv,Depth,answer_quality,evaluation,LLM judge or fixed baseline,per-method,答案是否提供深入分析而非表层信息,对所有 query 和 eval run 的 Score 求均值,EVIQUE baseline 在无 reference answer 时固定为 3
quantitative_table.csv,Density,answer_quality,evaluation,LLM judge or fixed baseline,per-method,答案相关信息密度和避免冗余的程度,对所有 query 和 eval run 的 Score 求均值,EVIQUE baseline 在无 reference answer 时固定为 3
quantitative_table.csv,Overall Score,answer_quality,evaluation,LLM judge or fixed baseline,per-method,整体答案质量分,对所有 query 和 eval run 的 Score 求均值,不是前五个维度的算术平均
quantitative_table.csv,Queries,metadata,evaluation,script aggregation,per-method,该 method 可聚合的 judgement 数,各 metric score list 长度的最大值,包含 eval runs 因此不一定等于去重 query 数
winrate_table.csv,Comparison,winrate,evaluation,script aggregation,per-pair,成对比较的两个方法,格式为 model_a vs model_b,DB-RAG 默认 EVIQUE vs 每个 baseline
winrate_table.csv,Metric,winrate,evaluation,script aggregation,per-pair-per-metric,当前统计的 win-rate 维度,来自 WINRATE_METRICS,包括 Overall Winner
winrate_table.csv,EVIQUE Win Rate (%),winrate,evaluation,script aggregation,per-pair-per-metric,EVIQUE 在该 pair 和 metric 下的胜率,EVIQUE wins / Judgements * 100,实际列名会随 pair method 动态变化
winrate_table.csv,Baseline Win Rate (%),winrate,evaluation,script aggregation,per-pair-per-metric,baseline 在 fallback header 下的胜率,Baseline wins / Judgements * 100,有真实 pair 行时会变成具体 method Win Rate (%)
winrate_table.csv,EVIQUE Wins,winrate,evaluation,script aggregation,per-pair-per-metric,EVIQUE 被 judge 选为 winner 的次数,统计 Answer 1/2 映射回 EVIQUE 后的次数,包含所有 query run order
winrate_table.csv,Baseline Wins,winrate,evaluation,script aggregation,per-pair-per-metric,baseline 被 judge 选为 winner 的次数,统计 Answer 1/2 映射回 baseline 后的次数,有真实 pair 行时会变成具体 method Wins
winrate_table.csv,Judgements,winrate,evaluation,script aggregation,per-pair-per-metric,进入胜率统计的有效 judgement 数,有效 winner 数总和,双向比较会把 ori 和 rev 都计入
per_query_summary.csv,source_run,metadata,merge,script aggregation,per-query,来源单数据集 run 名,merge 时由 run_root.name 写入,单 run evaluation 表没有此列
per_query_summary.csv,dataset,metadata,query loading,script aggregation,per-query,数据集名称,来自 normalized queries,用于分组分析
per_query_summary.csv,query_id,metadata,query loading,script aggregation,per-query,query 唯一标识,来自 normalized queries,raw judgement key 的第一段
per_query_summary.csv,method,metadata,evaluation,script aggregation,per-query,方法名,遍历 methods 得到,与 answer/evidence 目录对应
per_query_summary.csv,method_fidelity,metadata,answer generation or method registry,adapter metadata,per-query,方法接入保真度,优先 answer_metadata 否则 DB_RAG_METHOD_FIDELITY,透明性字段不参与评分
per_query_summary.csv,question,metadata,query loading,script aggregation,per-query,自然语言问题,来自 normalized queries,传入 answer 和 judge prompt
per_query_summary.csv,type,metadata,query loading,script aggregation,per-query,query 类型,来自 normalized queries,可用于分组
per_query_summary.csv,difficulty,metadata,query loading,script aggregation,per-query,query 难度,来自 normalized queries,可用于分组
per_query_summary.csv,Comprehensiveness,answer_quality,evaluation,LLM judge or fixed baseline,per-query,该 query 上覆盖度分数,同 method query 的所有 run Score 均值,缺失 judgement 时为空
